waiting,elapsed
156018,159081
176042,180024
180020,183978
176027,180007
180024,183997
176019,179995
180020,184001
192022,196002
164020,167998
180020,184000
188029,192009
168053,172024
176028,179975
176026,179998
180032,184007
176020,179988
180019,183999
180020,184000
176019,179999
180025,184006
176015,179990
180032,184017
176022,179990
192023,196001
164024,168001
180029,184005
176024,179995
180019,183995
176028,180009
180026,183998
176043,180017
180016,183973
184021,188005
188034,192013
160020,163986
180020,184000
176021,180001
180019,183998
180021,184002
176023,180002
180034,184011
176022,179988
176020,179998
180032,184012
176022,179990
188025,192003
168022,171997
180020,183998
180020,184000
176024,180004
180938,184914
136020,139082
176025,180005
180021,183996
188023,192002
168021,171998
176021,180000
180014,183993
180026,184012
176021,179996
180020,183998
176020,180000
180023,184003
176022,179999
180029,184007
176018,179989
180018,184000
176019,180001
180031,184012
180020,183989
176020,180000
180025,184005
176027,180002
180013,183986
176021,180008
180022,184001
180024,184002
176021,179996
176020,180000
180018,183998
180032,184014
176025,179994
176019,179994
180019,183999
180014,183995
176021,180007
180025,184004
176020,179995
180019,183999
176026,180007
180023,183997
180019,183996
176023,180004
180025,184002
176019,179994
180020,184001
176025,180005
180021,183996
176021,180000
180019,183998
180014,183995
176018,180004
180024,184006
176019,179996
180031,184011
176025,179994
180022,183997
176019,179997
180021,184002
184025,188004
