waiting,elapsed
68028,70870
92027,95998
92029,96001
100030,104001
80021,83990
92025,96003
92025,96000
100028,104003
84026,87999
88027,92000
92030,96003
92033,96003
92028,95994
88028,91999
92026,95998
92024,95997
92028,96003
88031,92002
92038,96008
92023,95984
92019,95996
88033,92013
92022,95989
92035,96013
92020,95985
88017,91997
92030,96011
92023,95993
92022,95998
88030,92008
92028,95999
92031,96001
92018,95988
88023,92004
92029,96005
92026,95997
92028,96001
92024,95996
88021,91996
92031,96010
92026,95995
104034,108008
76027,79992
92024,95996
92030,96006
108048,112018
72034,75986
92028,95992
92031,96002
89461,93430
60027,62566
92035,96008
88023,91988
92034,96010
92025,95991
92037,96010
88053,92017
92051,95997
92025,95975
92029,96003
88028,91998
92023,95997
92027,96002
92031,96003
88031,92000
100044,104013
84021,87976
92026,96004
92019,95992
88019,91999
92030,96011
92035,96005
92047,96013
88039,91991
92027,95988
92025,95997
92015,95990
88039,92024
92035,95995
92024,95989
88032,92007
92033,96000
92028,95996
92038,96010
92030,95992
88024,91992
92037,96013
92031,95994
92034,96002
88025,91993
92026,95999
92023,95996
88028,92004
92027,95999
92028,96001
92021,95992
92027,96005
88023,91995
100035,104012
84034,87998
92028,95993
88021,91993
92043,96021
92022,95979
92026,96004
88024,91997
92022,95997
92026,96003
92026,96000
88024,91997
92028,96003
92029,96001
92032,96002
92028,95996
88026,91999
92028,96001
92041,96013
92021,95980
88030,92008
92033,96003
92032,96000
92027,95993
88031,92003
92023,95992
92032,96009
92035,96003
88037,92002
92031,95993
92031,96000
92034,96002
88024,91989
100020,103995
84033,88013
92031,95997
88035,92003
92029,95996
92028,95998
92026,95997
88026,91999
92029,96003
108025,111996
76023,79997
88022,91998
92024,96001
92040,96016
92027,95987
88031,92003
92028,95997
92030,96001
92027,95997
88023,91995
92022,95998
92020,95998
92037,96016
92026,95989
88022,91995
92025,96004
92024,95999
92025,96000
88032,92007
92027,95995
92027,96000
92027,95998
88027,92000
92019,95992
92033,96014
88027,91995
92031,96004
104026,107994
80038,84011
88027,91989
92025,95998
92023,95998
92023,95999
88022,91998
92029,96007
92027,95998
92027,96001
92028,96000
88032,92003
92030,95998
92047,96016
88026,91979
92031,96004
92037,96006
92034,95997
88033,91998
92036,96004
92028,95991
92041,96012
88025,91985
92027,96000
92049,96022
92030,95981
96028,99997
84034,88006
92026,95992
92036,96009
88038,92003
92028,95989
92026,95997
88024,91998
108033,112008
76032,79999
92034,96001
88027,91991
92032,96005
92026,95994
92025,95999
92044,96018
88031,91986
