waiting,elapsed
184028,186975
228022,231995
228032,232009
228020,231988
224023,228003
228026,232003
228027,232001
228016,231990
232023,236006
224020,227998
228030,232009
228022,231993
228035,232012
224017,227982
228031,232014
228026,231995
228021,231995
228027,232006
240024,243998
216016,219991
228025,232009
228035,232010
224023,227988
228029,232006
228021,231992
228026,232005
228024,231998
228030,232006
228024,231995
228028,232003
228022,231994
228023,232001
228026,232003
224036,228010
228023,231987
228024,232001
228028,232004
228019,231991
228030,232011
228028,231999
228023,231994
228021,231998
228029,232008
240026,243998
220028,224001
220021,223994
228024,232002
228017,231993
228022,232005
228025,232003
228032,232007
244056,248024
208022,211966
228027,232005
228016,231989
228024,232008
240038,244014
216027,219990
228026,231998
228028,232002
228034,232007
228025,231990
228027,232003
228022,231995
228037,232014
224034,227996
228032,231999
228038,232007
228020,231982
236024,240003
220025,224001
228027,232002
228026,232000
224021,227994
228023,232002
228026,232003
228017,231991
240034,244017
216028,219994
228039,232011
228019,231980
240035,244016
220030,223995
224026,227996
228033,232007
228021,231989
